fecha,tweet_normalizado,user
2024-04-15 15:21:06,concierto orquesta cámara chile presentará miércoles 24 abril 19 hrs parroquia anunciación señor av pedro valdivia 1850 entrada liberada cupos limitados ingreso orden llegada completar aforo muniprovi,@evelynmatthei
2024-04-15 15:43:01,cinco actividades gratis celebrar mes libro providencia culturaprovi bibliotecasprovi muniprovi través aquitedateamos,@evelynmatthei
2024-04-15 12:57:05,junto autoridades corporación salud educación muniprovi ¿que común todas mujeres sido sello gestión reconocer mujeres altos cargos acá full preparando cuenta pública memoria lunes bien movido ¿y uds,@evelynmatthei
2024-04-15 09:41:13,sabemos tema delincuencia preocupa manera vecinos razón creado equipo seguridad especial guardias especializados capturar infraganti delinquen providencia demostrado buenos resultados pueden ver detalles nota,@evelynmatthei
2024-04-14 17:45:38,plaza centenario sabemos vecinos gusta visitar palacio falabella especial pileta frontis muniprovi debido diferentes inconvenientes presentado peces lugar pedimos tirar residuos ¡dale play video,@evelynmatthei
2024-04-14 09:11:16,resumen últimas dos semanas verdad parado muniprovi muchas cosas vienen bien entretenidas veces cansancio hace cariño dedicación pasa segundo plano aún gente tan amorosa cercana vecinos abrazo gran lindo día,@evelynmatthei
2024-04-13 15:54:15,lindas postales dejó semana querida muniprovi fines semana reviso celular encanta encontrarme fotitos uds muchas gracias cariño di cuenta llegó harta gente nueva comunidad bienvenidos gracias palabras tan lindas recibo abrazo grande,@evelynmatthei
2024-04-13 14:07:51,realmente bueno pueden visitarlo 1800 horas café literario parque bustamante,@evelynmatthei
2024-04-13 13:10:30,provikids entretenida mañana familiar disfrutaron vecinos plaza lilas obra infantil “tico libro selva ¡gracias asistir muniprovi,@evelynmatthei
2024-04-13 09:34:56,equipos desplegados comuna tener listo caso llegue lluvia,@evelynmatthei
